States,Month_Year,temperature,humidity,precipitation,wind_speed,solar_radiation,max_temp,min_temp,dew_point,pressure,clouds,Generation,Type
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,5.5,Bioenergy
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,8147.68,Coal
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,767.93,Gas
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,128.48,Hydro
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,168.86,Nuclear
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,0.0,Other Fossil
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,0.0,Other Renewables
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,233.43,Solar
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,779.91,Wind
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,7.81,Bioenergy
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,7137.89,Coal
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,628.98,Gas
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,96.75,Hydro
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,152.01,Nuclear
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,0.0,Other Fossil
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,0.0,Other Renewables
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,236.82,Solar
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,752.51,Wind
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,14.84,Bioenergy
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,7906.47,Coal
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,907.14,Gas
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,85.77,Hydro
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,168.1,Nuclear
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,0.0,Other Fossil
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,0.0,Other Renewables
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,304.2,Solar
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,789.41,Wind
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,13.68,Bioenergy
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,7876.22,Coal
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,1294.74,Gas
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,57.19,Hydro
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,161.39,Nuclear
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,0.0,Other Fossil
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,7.77,Other Renewables
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,308.85,Solar
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,1031.56,Wind
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,8.64,Bioenergy
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,8610.22,Coal
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,1211.52,Gas
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,59.6,Hydro
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,179.17,Nuclear
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,0.0,Other Fossil
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,0.0,Other Renewables
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,323.61,Solar
Gujarat,2019-05-01,34.65,41.2,0.0,2.98,352.93333333333334,42.26,28.146666666666665,18.07,1000.3,20.366666666666667,1369.72,Wind
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,8.15,Bioenergy
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,7016.11,Coal
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,1045.6,Gas
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,41.3,Hydro
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,311.83,Nuclear
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,0.0,Other Fossil
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,8.31,Other Renewables
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,264.17,Solar
Gujarat,2019-06-01,33.19655172413793,60.3448275862069,151.5,3.117241379310345,303.2068965517241,39.29655172413793,28.441379310344825,23.46551724137931,996.1034482758621,45.06896551724138,1487.12,Wind
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,8.14,Bioenergy
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,6376.54,Coal
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,1161.33,Gas
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,59.7,Hydro
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,322.85,Nuclear
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,0.0,Other Fossil
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,0.0,Other Renewables
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,285.85,Solar
Gujarat,2019-07-01,31.561111111111114,67.97222222222223,222.5,3.5194444444444444,180.52777777777777,36.56666666666667,27.805555555555557,24.455555555555556,994.5833333333334,60.138888888888886,2142.29,Wind
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,5.06,Bioenergy
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,6480.3,Coal
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,915.55,Gas
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,962.09,Hydro
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,324.52,Nuclear
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,0.0,Other Fossil
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,0.0,Other Renewables
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,227.26,Solar
Gujarat,2019-08-01,28.423333333333336,84.26666666666667,425.2,2.6566666666666667,146.0,31.726666666666667,25.986666666666668,25.323333333333334,996.1666666666666,75.96666666666667,1234.27,Wind
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,3.76,Bioenergy
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,6108.64,Coal
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,1441.81,Gas
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,1358.73,Hydro
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,313.86,Nuclear
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,0.0,Other Fossil
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,0.0,Other Renewables
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,205.55,Solar
Gujarat,2019-09-01,28.410344827586208,87.62068965517241,474.1,1.8586206896551725,129.6206896551724,32.227586206896554,25.71034482758621,26.00344827586207,999.4137931034483,76.89655172413794,589.26,Wind
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,6.86,Bioenergy
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,7172.7,Coal
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,1375.59,Gas
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,845.52,Hydro
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,301.78,Nuclear
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,0.0,Other Fossil
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,0.0,Other Renewables
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,285.67,Solar
Gujarat,2019-10-01,28.186666666666667,66.23333333333333,46.7,1.8766666666666665,223.3,34.06666666666667,22.866666666666667,20.64333333333333,1004.9,37.96666666666667,578.45,Wind
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,9.26,Bioenergy
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,6922.29,Coal
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,1105.26,Gas
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,458.38,Hydro
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,256.18,Nuclear
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,0.0,Other Fossil
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,0.0,Other Renewables
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,275.84,Solar
Gujarat,2019-11-01,25.986206896551725,66.48275862068965,18.2,1.503448275862069,199.82758620689654,32.11724137931034,20.79310344827586,18.768965517241377,1006.6896551724138,37.10344827586207,812.02,Wind
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,14.52,Bioenergy
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,7244.32,Coal
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,823.16,Gas
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,486.8,Hydro
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,303.42,Nuclear
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,0.0,Other Fossil
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,0.0,Other Renewables
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,328.26,Solar
Gujarat,2019-12-01,20.57,57.13333333333333,0.0,2.3833333333333333,178.76666666666668,27.240000000000002,15.1,11.17,1008.9333333333333,25.5,1384.15,Wind
